,BATTER,NAME,YEAR,YEAR.1,G,PA,AB,H,RBI,SF,R,HR,TB,BB,UBB,IBB,HBP,G_P,G_C,G_1B,G_2B,G_3B,G_SS,G_LF,G_CF,G_RF,G_OF,G_DH,SB,CS,BASEBALLREFERENCECODE,PLAYERID,WARP
0,3,Brad Ausmus,1990,13972,763,2805,2485,652,248.0,16.0,322,41,921,248,217.0,31.0,28,0,747,2,0,0,0,0,0,0,0,0,63,32.0,ausmubr01,3,11.9
1,3,Brad Ausmus,2000,20045,1187,4225,3731,913,357.0,21.0,392,39,1220,379,342.0,37.0,40,0,1170,9,6,4,1,0,0,0,0,0,39,21.0,ausmubr01,3,4.6000000000000005
2,52,Gregg Zaun,2000,20045,897,3029,2610,668,342.0,24.0,336,73,1042,367,346.0,21.0,21,0,766,1,1,0,0,0,0,0,0,31,14,16.0,zaungr01,52,12.3
3,57,Henry Blanco,2000,20045,722,2306,2065,468,228.0,21.0,204,51,752,180,156.0,24.0,7,0,677,9,0,1,0,0,0,0,0,0,3,9.0,blanche01,57,0.20000000000000015
4,92,Javy Lopez,1990,15964,656,2481,2280,662,378.0,22.0,283,119,1146,149,131.0,18.0,25,0,624,0,0,0,0,0,0,0,0,5,7,16.0,lopezja01,92,12.6
5,92,Javy Lopez,2000,14021,847,3312,3039,865,486.0,23.0,391,141,1466,208,183.0,25.0,41,0,727,1,0,0,0,0,0,0,0,105,1,3.0,lopezja01,92,17.200000000000003
6,109,B.J. Surhoff,1980,5964,380,1463,1324,347,161.0,22.0,139,17,472,92,81.0,11.0,6,0,310,3,0,47,1,1,0,0,1,18,46,28.0,surhob.01,109,3.9
7,114,Paul Bako,2000,20045,620,1891,1682,370,148.0,6.0,156,19,517,184,155.0,29.0,7,0,593,1,0,0,0,0,0,0,0,1,2,7.0,bakopa01,114,-2.3999999999999995
8,194,Mike Matheny,1990,11979,502,1457,1335,306,145.0,8.0,116,22,442,69,69.0,0.0,22,0,496,2,0,0,0,0,0,0,0,1,6,5.0,mathemi01,194,-1.7
9,194,Mike Matheny,2000,14021,803,2830,2542,619,298.0,26.0,237,45,892,197,143.0,54.0,23,0,789,16,0,0,0,0,0,0,0,0,2,9.0,mathemi01,194,1.3
10,243,Joe Girardi,1990,19945,928,3421,3121,846,329.0,17.0,350,25,1108,196,177.0,19.0,20,0,913,0,0,0,0,0,0,0,0,2,40,29.0,girarjo01,243,3.7
11,251,Todd Hundley,1990,19945,943,3332,2925,690,452.0,22.0,389,148,1280,343,289.0,54.0,26,0,853,0,0,0,0,34,0,0,34,2,14,9.0,hundlto01,251,9.2
12,280,Rod Barajas,2000,20045,808,2726,2505,597,352.0,28.0,296,91,1020,142,126.0,16.0,27,0,777,14,0,0,0,0,0,0,0,2,2,2.0,barajro01,280,3.4
