,BATTER,NAME,YEAR,YEAR.1,G,PA,AB,H,RBI,SF,R,HR,TB,BB,UBB,IBB,HBP,G_P,G_C,G_1B,G_2B,G_3B,G_SS,G_LF,G_CF,G_RF,G_OF,G_DH,SB,CS,BASEBALLREFERENCECODE,PLAYERID,WARP
0,294,Erubiel Durazo,2000,12015,572,2106,1793,496,300.0,15.0,302,83,857,281,255.0,26.0,17,0,0,192,0,0,0,0,0,4,4,305,6,4.0,durazer01,294,7.8
1,404,Vladimir Guerrero,2010,4021,297,1233,1155,341,178.0,10.0,143,42,528,52,44.0,8.0,16,0,0,0,0,0,0,1,0,17,18,266,6,7.0,guerrvl01,404,2.0
2,769,Adam Dunn,2010,10060,711,2911,2466,530,391.0,17.0,317,146,1076,404,379.0,25.0,24,1,0,334,0,0,0,12,0,4,16,345,4,5.0,dunnad01,769,1.7000000000000002
3,822,Jack Cust,2000,16040,491,1886,1533,367,248.0,15.0,242,89,698,332,322.0,10.0,6,0,0,0,0,0,0,113,0,104,217,236,4,4.0,custja01,822,6.9
4,877,Brad Fullmer,2000,10010,548,2101,1897,532,314.0,19.0,295,89,946,153,131.0,22.0,32,0,0,54,0,0,0,0,0,0,0,465,24,12.0,fullmbr01,877,6.5
5,1004,Josh Phelps,2000,16030,465,1552,1394,380,244.0,6.0,198,64,658,116,110.0,6.0,36,0,12,86,0,0,0,3,0,2,5,308,2,2.0,phelpjo01,1004,3.3
6,1049,Aubrey Huff,2000,20045,1322,5444,4936,1391,752.0,46.0,654,203,2330,425,357.0,68.0,37,0,0,320,0,360,0,8,0,237,245,406,25,22.0,huffau01,1049,14.7
7,1070,Greg Vaughn,2000,8006,354,1450,1234,278,190.0,8.0,193,63,538,200,189.0,11.0,8,0,0,0,0,0,0,166,0,1,167,169,22,8.0,vaughgr01,1070,5.300000000000001
8,1081,Ellis Burks,2000,10010,450,1808,1581,472,290.0,18.0,282,91,848,192,180.0,12.0,16,0,0,0,0,0,0,26,0,110,136,291,15,6.0,burksel01,1081,12.4
9,1105,Victor Martinez,2010,16114,1096,4480,4051,1182,619.0,45.0,469,135,1809,359,287.0,72.0,25,0,141,82,0,0,0,0,0,0,0,839,5,4.0,martivi01,1105,11.800000000000002
10,1163,Edgar Martinez,1990,19945,1295,5587,4630,1492,750.0,40.0,854,196,2462,854,784.0,70.0,56,0,0,25,0,477,0,0,0,0,0,776,38,26.0,martied01,1163,51.7
