,PITCHER,NAME,YEAR,Unnamed: 0,W,L,SV,IP,R,ER,PA,AB,H,HR,TB,BB,UBB,IBB,HBP,SO,PLAYERID,BASEBALLREFERENCECODE,WARP
0,75,Tom Glavine,1990,39,164,87,0,2227.999,877,794,9325,8381.0,2101,141,2964.0,764,692,72,23,1465,75,glavito02,44.9
1,75,Tom Glavine,2000,40,118,87,0,1753.6653,790,734,7431,6664.0,1769,178,2717.0,600,541,59,30,948,75,glavito02,27.700000000000003
2,178,Jeff Fassero,1990,99,92,83,10,1465.3339999999998,711,620,6291,5636.0,1439,146,2216.0,507,479,28,26,1229,178,fasseje01,23.4
3,179,Chuck Finley,1990,102,135,108,0,2143.998,1004,896,9137,8063.0,2040,217,3115.0,888,872,16,59,1784,179,finlech01,44.6
4,304,Randy Johnson,1990,173,150,75,2,2063.3323,805,721,8557,7466.0,1560,183,2456.0,910,897,13,98,2538,304,johnsra05,52.3
5,304,Randy Johnson,2000,174,143,78,0,1885.3347,790,699,7686,6998.0,1616,212,2642.0,484,462,22,89,2182,304,johnsra05,51.3
6,326,Greg Swindell,1990,192,80,78,4,1480.3337,709,638,6193,5743.0,1580,173,2487.0,320,299,21,17,961,326,swindgr01,16.599999999999998
7,566,Al Leiter,1990,326,83,63,2,1181.333,520,487,5093,4344.0,1031,83,1539.0,612,589,23,55,993,566,leiteal01,24.6
8,566,Al Leiter,2000,327,72,61,0,1096.333,515,461,4732,4111.0,1016,104,1577.0,480,450,30,55,867,566,leiteal01,17.9
9,698,Randy Wolf,2000,409,95,76,0,1560.6677,745,697,6613,5889.0,1482,192,2448.0,538,508,30,68,1271,698,wolfra02,17.4
10,831,Mike Hampton,2000,493,78,72,0,1221.0003,683,618,5363,4732.0,1327,122,1986.0,510,475,35,28,683,831,hamptmi01,7.0
11,843,Denny Neagle,1990,503,90,60,3,1311.0005999999996,600,557,5480,4981.0,1268,152,2045.0,378,346,32,30,998,843,neaglde01,18.2
12,912,Jarrod Washburn,2000,539,97,101,1,1727.9993,824,774,7308,6634.0,1724,223,2824.0,516,496,20,61,1016,912,washbja01,25.9
13,944,Ted Lilly,2000,557,103,83,0,1501.0,744,700,6384,5735.0,1397,219,2418.0,528,506,22,43,1280,944,lillyte01,23.9
14,952,Mark Mulder,2000,566,103,60,0,1314.0,657,611,5562,5020.0,1352,141,2087.0,412,397,15,50,834,952,muldema01,19.700000000000003
15,969,Barry Zito,2000,571,133,106,0,1998.9997,929,852,8484,7443.0,1775,209,2793.0,826,790,36,81,1501,969,zitoba01,35.5
16,1026,Wilson Alvarez,1990,609,86,76,1,1433.0003,709,628,6189,5364.0,1321,151,2051.0,706,683,23,36,1074,1026,alvarwi01,21.799999999999997
17,1102,Cliff Lee,2000,641,90,52,0,1196.6669000000004,577,528,5079,4646.0,1224,134,1916.0,332,322,10,38,900,1102,leecl02,17.3
18,1109,Terry Mulholland,1990,645,96,100,4,1774.0,921,821,7510,6888.0,1870,187,2876.0,436,400,36,39,935,1109,mulhote01,13.200000000000001
19,1117,CC Sabathia,2000,655,136,81,0,1889.334,827,760,7834,7077.0,1738,168,2668.0,590,568,22,59,1590,1117,sabatc.01,38.7
20,1117,CC Sabathia,2010,656,115,80,0,1688.0,796,725,7155,5843.0,1666,214,2350.0,509,487,22,64,1503,1117,sabatc.01,24.099999999999994
21,1167,Jamie Moyer,1990,692,86,58,0,1362.0003,669,619,5742,5290.0,1415,153,2190.0,340,321,19,44,807,1167,moyerja01,23.200000000000003
22,1167,Jamie Moyer,2000,693,140,94,0,1980.333,989,931,8414,7658.0,2025,270,3302.0,550,519,31,80,1178,1167,moyerja01,22.3
23,1258,Doug Davis,2000,750,90,97,0,1628.9994000000004,837,771,7162,6252.0,1687,169,2598.0,736,710,26,39,1206,1258,davisdo02,24.099999999999998
24,1293,Kenny Rogers,1990,768,111,74,26,1627.6664,834,742,7004,6247.0,1626,164,2486.0,609,581,28,51,1051,1293,rogerke01,25.3
25,1293,Kenny Rogers,2000,769,105,78,0,1601.3339999999996,877,802,6962,6285.0,1771,173,2767.0,524,508,16,72,854,1293,rogerke01,24.000000000000004
26,1495,Eric Milton,2000,895,74,60,0,1203.667,711,667,5196,4773.0,1280,214,2260.0,320,308,12,30,857,1495,miltoer01,9.6
27,1513,Johan Santana,2000,906,122,60,1,1709.6666999999998,641,592,6946,6364.0,1430,187,2344.0,473,463,10,34,1733,1513,santajo02,46.199999999999996
28,1526,Mark Buehrle,2000,913,135,97,0,2060.9993,973,871,8562,7928.0,2143,236,3332.0,470,435,35,52,1188,1526,buehrma01,41.199999999999996
29,1526,Mark Buehrle,2010,914,79,63,0,1222.333,569,520,5143,3997.0,1329,125,1673.0,264,250,14,27,682,1526,buehrma01,18.8
30,1600,Andy Pettitte,1990,955,81,46,0,1044.333,492,455,4443,3999.0,1087,85,1581.0,376,367,9,16,709,1600,pettian01,21.699999999999996
31,1600,Andy Pettitte,2000,956,148,89,0,1882.0,917,815,8008,7319.0,1975,165,2927.0,545,516,29,32,1441,1600,pettian01,32.2
32,1619,David Wells,1990,971,127,87,6,1896.9990000000007,938,866,7884,7306.0,1908,233,3077.0,436,396,40,43,1244,1619,wellsda01,31.5
33,1619,David Wells,2000,972,98,58,0,1362.0013,689,643,5766,5434.0,1559,157,2392.0,212,203,9,38,791,1619,wellsda01,20.3
34,16664,Jim Abbott,1990,1129,75,96,0,1492.6667,785,712,6423,5747.0,1589,141,2307.0,546,519,27,28,773,16664,abbotji01,19.2
35,16706,Steve Avery,1990,1160,94,83,0,1538.6667000000002,789,713,6538,5832.0,1510,143,2287.0,562,536,26,26,974,16706,averyst01,12.799999999999999
36,17244,Jimmy Key,1980,1575,74,49,10,1115.0,459,416,4570,4203.0,1043,109,1634.0,279,259,20,16,614,17244,keyji01,19.999999999999996
37,17244,Jimmy Key,1990,1576,112,68,0,1476.6665999999998,645,594,6149,5653.0,1475,145,2231.0,389,380,9,22,924,17244,keyji01,29.2
38,17266,Mark Langston,1980,1594,86,76,0,1374.3329999999999,653,580,5866,5089.0,1206,146,1946.0,668,652,16,26,1253,17266,langsma01,24.1
39,17266,Mark Langston,1990,1595,93,82,0,1588.3317,785,726,6696,5968.0,1517,165,2348.0,621,603,18,20,1211,17266,langsma01,25.900000000000002
40,17808,Bruce Hurst,1980,2011,103,84,0,1703.6667,831,759,7254,6593.0,1783,189,2757.0,545,514,31,24,1222,17808,hurstbr01,26.099999999999998
41,17832,John Smiley,1990,2024,95,79,0,1410.6670000000001,674,615,5852,5354.0,1410,139,2180.0,347,332,15,32,965,17832,smilejo01,16.299999999999997
42,17841,Tom Browning,1980,2033,78,52,0,1211.3333,552,501,5017,4564.0,1141,149,1838.0,337,303,34,19,675,17841,brownto05,14.0
43,17877,Frank Viola,1980,2062,117,98,0,1858.001,877,792,7801,7148.0,1850,218,2905.0,548,528,20,30,1287,17877,violafr01,27.799999999999997
44,17942,Rick Honeycutt,1980,2113,79,101,20,1501.0014,703,603,6314,5762.0,1529,122,2247.0,431,382,49,28,700,17942,honeyri01,15.500000000000002
45,18205,Dave Righetti,1980,2296,73,59,188,1066.3333,417,365,4509,3979.0,941,55,1291.0,437,402,35,14,884,18205,righeda01,22.200000000000003
