,BATTER,NAME,YEAR,YEAR.1,G,PA,AB,H,RBI,SF,R,HR,TB,BB,UBB,IBB,HBP,G_P,G_C,G_1B,G_2B,G_3B,G_SS,G_LF,G_CF,G_RF,G_OF,G_DH,SB,CS,BASEBALLREFERENCECODE,PLAYERID,WARP
0,6,Lance Berkman,2000,20045,1473,6248,5169,1553,1026.0,49.0,959,309,2887,968,838.0,130.0,61,0,0,623,0,0,0,511,166,256,933,12,74,39.0,berkmla01,6,46.5
1,19,Richard Hidalgo,2000,12015,786,3178,2803,759,463.0,34.0,443,147,1403,281,258.0,23.0,60,0,0,0,0,0,0,64,257,543,864,2,36,26.0,hidalri01,19,15.599999999999998
2,22,Brian L. Hunter,1990,11979,659,2891,2663,701,178.0,23.0,386,19,917,178,177.0,1.0,9,0,0,0,0,0,0,119,545,0,664,0,221,55.0,huntebr02,22,5.3999999999999995
3,24,Jason Lane,2000,12027,497,1363,1208,291,189.0,15.0,165,61,552,123,121.0,2.0,13,0,0,4,0,0,0,63,72,298,433,0,10,6.0,laneja01,24,1.4000000000000001
4,29,Orlando Merced,1990,19945,1051,3866,3398,951,500.0,24.0,490,88,1452,432,387.0,45.0,10,0,1,398,0,0,0,52,0,531,583,12,45,26.0,merceor01,29,15.700000000000001
5,50,Daryle Ward,2000,18036,880,2297,2081,546,349.0,25.0,230,82,927,182,146.0,36.0,9,0,0,260,0,0,0,214,0,54,268,13,1,6.0,wardda01,50,-4.000000000000001
6,60,Darren Bragg,1990,11979,562,2066,1776,463,201.0,17.0,252,36,697,236,222.0,14.0,20,0,0,0,0,1,0,120,225,248,593,5,41,18.0,braggda01,60,9.700000000000001
7,86,Andruw Jones,1990,7990,505,1890,1679,436,257.0,9.0,257,80,799,179,158.0,21.0,17,0,0,0,0,0,0,2,390,115,507,0,74,27.0,jonesan01,86,17.9
8,86,Andruw Jones,2000,20045,1413,5955,5219,1340,917.0,57.0,852,308,2567,610,563.0,47.0,69,0,0,8,0,0,0,12,1317,5,1334,59,69,30.0,jonesan01,86,41.8
9,106,Gary Sheffield,1990,19945,1189,5054,4197,1235,763.0,61.0,733,227,2170,723,645.0,78.0,68,0,0,0,0,445,0,148,0,565,713,9,143,64.0,sheffga01,106,27.2
10,106,Gary Sheffield,2000,20045,1268,5399,4572,1344,869.0,46.0,857,273,2411,718,666.0,52.0,63,0,0,9,0,2,0,339,0,595,934,289,97,33.0,sheffga01,106,33.49999999999999
11,109,B.J. Surhoff,1990,19945,1336,5387,4871,1391,732.0,66.0,670,129,2099,390,334.0,56.0,20,0,394,94,1,269,0,536,5,28,569,52,71,46.0,surhob.01,109,24.799999999999997
12,109,B.J. Surhoff,2000,12015,597,2256,2063,588,260.0,16.0,253,42,843,158,144.0,14.0,7,0,0,61,0,0,0,367,0,66,433,68,24,10.0,surhob.01,109,5.9
13,134,Jeffrey Hammonds,1990,13972,559,1890,1697,455,235.0,17.0,275,68,770,149,144.0,5.0,14,0,0,0,0,0,0,171,111,261,543,17,42,15.0,hammoje01,134,6.5
14,134,Jeffrey Hammonds,2000,12015,398,1514,1335,369,188.0,15.0,200,42,590,143,137.0,6.0,16,0,0,0,0,0,0,68,148,175,391,1,25,15.0,hammoje01,134,2.2
15,139,Geoff Jenkins,2000,18036,1130,4476,3991,1093,623.0,35.0,585,191,1950,363,297.0,66.0,87,0,0,0,0,0,0,701,0,367,1068,5,26,10.0,jenkige01,139,17.799999999999997
16,156,Alex Sanchez,2000,10015,427,1651,1527,452,111.0,10.0,193,6,568,76,75.0,1.0,6,0,0,0,0,0,0,19,335,23,377,8,122,58.0,sanchal03,156,1.0999999999999996
17,159,Matt Stairs,1990,13970,547,1925,1669,465,328.0,12.0,276,102,876,228,215.0,13.0,13,0,0,15,0,0,0,83,1,239,323,149,14,14.0,stairma01,159,7.1000000000000005
18,159,Matt Stairs,2000,20045,1214,3913,3371,868,553.0,27.0,476,157,1547,469,425.0,44.0,44,0,0,272,1,0,0,141,1,308,450,278,14,10.0,stairma01,159,7.599999999999999
19,160,Ryan Thompson,1990,11969,303,1151,1039,249,136.0,10.0,131,41,434,77,65.0,12.0,17,0,0,0,0,0,0,13,251,44,308,0,8,11.0,thompry01,160,3.4
20,174,J.D. Drew,2000,20045,1228,4850,4043,1156,653.0,33.0,771,198,2050,715,670.0,45.0,43,0,0,0,0,0,0,26,121,1054,1201,9,65,32.0,drewj.01,174,39.1
21,177,Jim Edmonds,1990,13972,709,2951,2644,768,408.0,15.0,464,121,1316,274,252.0,22.0,15,0,0,35,0,0,0,60,566,34,660,18,26,24.0,edmonji01,177,20.599999999999998
22,177,Jim Edmonds,2000,18036,1216,4757,3968,1113,768.0,49.0,743,261,2175,700,631.0,69.0,33,0,0,16,0,0,0,1,1150,0,1151,3,39,26.0,edmonji01,177,38.1
23,192,Eli Marrero,2000,14021,510,1451,1290,329,200.0,21.0,198,54,577,120,105.0,15.0,7,0,160,36,0,1,0,125,56,117,298,1,35,7.0,marreel01,192,4.8999999999999995
24,213,So Taguchi,2000,16044,672,1524,1369,382,163.0,10.0,197,19,527,102,97.0,5.0,12,0,0,0,3,0,0,276,226,125,627,1,39,12.0,tagucso01,213,2.3
25,221,Moises Alou,1990,15955,919,3686,3271,966,612.0,41.0,535,145,1654,337,285.0,52.0,28,0,0,0,0,0,0,582,99,271,952,1,73,29.0,aloumo01,221,21.999999999999996
26,221,Moises Alou,2000,18036,1023,4227,3766,1168,675.0,41.0,574,187,1975,400,361.0,39.0,20,0,0,0,0,0,0,659,1,332,992,22,33,8.0,aloumo01,221,18.1
27,264,Corey Patterson,2000,20045,1007,3758,3495,879,363.0,21.0,479,104,1412,169,150.0,19.0,29,0,0,0,0,0,0,13,960,3,976,0,184,51.0,patteco01,264,9.2
