,BATTER,NAME,YEAR,YEAR.1,G,PA,AB,H,RBI,SF,R,HR,TB,BB,UBB,IBB,HBP,G_P,G_C,G_1B,G_2B,G_3B,G_SS,G_LF,G_CF,G_RF,G_OF,G_DH,SB,CS,BASEBALLREFERENCECODE,PLAYERID,WARP
0,16,Adam Everett,2000,18045,815,2914,2617,640,278.0,20.0,319,40,919,165,151.0,14.0,37,0,0,0,1,0,792,0,0,0,0,3,64,20.0,everead01,16,13.299999999999999
1,26,Mark Loretta,1990,9985,517,1863,1643,483,184.0,20.0,237,18,643,159,155.0,4.0,20,0,0,155,125,74,208,1,0,0,1,1,21,14.0,loretma01,26,3.4000000000000004
2,27,Julio Lugo,2000,20045,1237,5026,4473,1213,452.0,40.0,659,80,1751,420,416.0,4.0,35,0,0,0,114,16,1078,11,1,6,18,7,193,62.0,lugoju01,27,14.399999999999999
3,48,Jose Vizcaino,1990,19945,1061,3936,3564,966,325.0,29.0,426,21,1216,257,244.0,13.0,11,0,0,0,228,139,672,1,0,0,1,0,59,44.0,vizcajo01,48,7.6000000000000005
4,48,Jose Vizcaino,2000,14021,752,1971,1805,485,155.0,9.0,205,15,641,121,101.0,20.0,5,0,0,39,206,88,271,0,0,0,0,2,15,18.0,vizcajo01,48,-0.5
5,70,Julio Franco,1980,15884,1064,4544,4138,1232,524.0,45.0,584,58,1666,337,314.0,23.0,18,0,0,0,321,2,715,0,0,0,0,24,152,63.0,francju01,70,19.0
6,73,Rafael Furcal,2000,20045,1300,5871,5249,1493,465.0,32.0,880,92,2140,529,511.0,18.0,16,0,0,0,36,0,1256,0,0,0,0,0,271,81.0,furcara02,73,33.5
7,73,Rafael Furcal,2010,8047,314,1365,1228,324,122.0,7.0,183,21,465,114,108.0,6.0,6,0,0,0,8,0,298,0,0,0,0,0,43,13.0,furcara02,73,6.0
8,138,Jose Hernandez,1990,15962,745,2188,1989,499,257.0,8.0,303,73,844,154,136.0,18.0,8,0,0,6,60,211,401,44,47,4,95,1,24,17.0,hernajo01,138,6.200000000000001
9,138,Jose Hernandez,2000,14021,842,2901,2629,667,346.0,16.0,320,95,1085,230,208.0,22.0,16,0,0,73,58,214,435,18,3,12,33,1,17,21.0,hernajo01,138,7.1
10,205,Edgar Renteria,1990,7990,547,2395,2150,611,177.0,18.0,329,23,793,179,177.0,2.0,12,0,0,0,0,0,539,0,0,0,0,0,126,47.0,renteed01,205,6.100000000000001
11,205,Edgar Renteria,2000,20045,1437,6071,5450,1574,688.0,54.0,811,109,2253,494,457.0,37.0,18,0,0,1,0,0,1421,0,0,0,0,2,161,59.0,renteed01,205,25.0
