,BATTER,NAME,YEAR,G,PA,AB,H,RBI,SF,R,HR,TB,BB,UBB,IBB,HBP,G_P,G_C,G_1B,G_2B,G_3B,G_SS,G_LF,G_CF,G_RF,G_OF,G_DH,SB,CS,BASEBALLREFERENCECODE,PLAYERID,WARP,TEAM
0,4,Jeff Bagwell,1990,1317,5800,4759,1447,961.0,71.0,921,263,2592,885,764.0,121.0,82.0,0,0,1306,0,0,0,0,0,1,1,3,158.0,58.0,bagweje01,4,54.06155,HOU
1,4,Jeff Bagwell,2000,833,3631,3038,867,568.0,31.0,596,186,1621,516,482.0,34.0,46.0,0,0,805,0,0,0,0,0,0,0,7,44.0,20.0,bagweje01,4,22.082380999999998,HOU
2,6,Lance Berkman,2010,372,1459,1229,330,193.0,4.0,177,53,562,221,191.0,30.0,5.0,0,0,141,0,0,0,16,0,110,126,92,7.0,8.0,berkmla01,6,4.55839265,STL
3,70,Julio Franco,2000,636,1618,1433,409,213.0,12.0,181,32,591,164,147.0,17.0,5.0,0,0,382,0,5,0,0,0,0,0,11,21.0,6.0,francju01,70,0.7434659000000002,ATL
4,71,Matt Franco,2000,294,538,473,130,59.0,4.0,45,11,195,59,54.0,5.0,0.0,0,0,94,1,22,0,6,0,4,10,5,1.0,1.0,francma01,71,0.31325549999999996,ATL
5,157,Richie Sexson,1990,188,719,664,179,151.0,8.0,101,42,352,40,40.0,0.0,7.0,0,0,108,0,0,0,51,0,3,54,27,4.0,4.0,sexsori01,157,0.67996713,CLE
6,157,Richie Sexson,2000,1179,4885,4264,1107,792.0,28.0,647,264,2146,548,517.0,31.0,45.0,0,0,1090,0,0,0,58,0,0,58,29,10.0,9.0,sexsori01,157,17.274240000000002,MIL
7,193,Tino Martinez,1990,1157,4768,4205,1156,798.0,55.0,615,213,2042,471,408.0,63.0,26.0,0,0,1055,0,0,0,0,0,0,0,75,13.0,13.0,martiti02,193,18.52697,SEA
8,193,Tino Martinez,2000,866,3276,2906,769,473.0,25.0,393,126,1307,309,270.0,39.0,33.0,0,0,814,0,0,0,0,0,0,0,28,14.0,7.0,martiti02,193,8.128618999999999,NYY
9,202,Eduardo Perez,1990,348,1029,917,219,149.0,7.0,113,34,368,95,90.0,5.0,8.0,0,0,169,0,80,0,18,0,1,19,3,13.0,8.0,perezed01,202,1.1016872,CAL
10,202,Eduardo Perez,2000,406,1010,883,226,145.0,8.0,125,45,408,99,96.0,3.0,16.0,0,0,127,0,24,0,26,0,100,126,47,6.0,5.0,perezed01,202,2.3458379000000003,STL
11,204,Albert Pujols,2000,1399,6082,5146,1717,1112.0,55.0,1071,366,3230,811,613.0,198.0,69.0,0,0,1032,1,96,1,269,0,40,309,12,61.0,30.0,pujolal01,204,76.22256,STL
12,204,Albert Pujols,2010,1424,6149,5541,1485,963.0,59.0,757,290,2633,511,398.0,113.0,38.0,0,0,870,0,13,0,0,0,0,0,546,53.0,11.0,pujolal01,204,31.614888000000004,LAA
13,232,Hee-Seop Choi,2000,363,1086,915,220,120.0,8.0,130,40,400,141,133.0,8.0,16.0,0,0,286,0,0,0,0,0,0,0,0,3.0,4.0,choihe01,232,1.0241322,CHC
14,258,Fred McGriff,1980,425,1664,1387,373,217.0,9.0,257,90,735,258,239.0,19.0,9.0,0,0,327,0,0,0,0,0,0,0,93,16.0,7.0,mcgrifr01,258,11.288283369999998,TOR
15,258,Fred McGriff,1990,1472,6255,5399,1573,975.0,46.0,837,300,2775,787,670.0,117.0,22.0,0,0,1423,0,0,0,0,0,0,0,38,52.0,27.0,mcgrifr01,258,22.906474000000006,ATL
16,258,Fred McGriff,2000,563,2255,1971,544,358.0,16.0,255,103,948,260,225.0,35.0,8.0,0,0,489,0,0,0,0,0,0,0,43,4.0,4.0,mcgrifr01,258,2.208371,TBD
17,288,Greg Colbrunn,1990,703,2246,2087,594,312.0,22.0,239,66,916,100,92.0,8.0,35.0,0,1,570,0,2,0,0,0,6,6,10,29.0,19.0,colbrgr01,288,2.7023262000000003,FLA
18,288,Greg Colbrunn,2000,289,770,682,207,110.0,4.0,98,32,358,70,67.0,3.0,14.0,0,0,169,0,16,0,0,0,0,0,11,0.0,2.0,colbrgr01,288,2.594523,ARI
19,300,Mark Grace,1980,276,1146,996,304,136.0,7.0,139,20,429,140,122.0,18.0,0.0,0,0,275,0,0,0,0,0,0,0,0,17.0,10.0,gracema01,300,6.483339000000001,CHC
20,300,Mark Grace,1990,1491,6467,5650,1754,786.0,73.0,843,117,2539,711,640.0,71.0,23.0,0,0,1475,0,0,0,0,0,0,0,0,49.0,36.0,gracema01,300,30.90222,CHC
21,300,Mark Grace,2000,478,1677,1419,387,224.0,19.0,197,36,597,224,199.0,25.0,11.0,1,0,412,0,0,0,0,0,0,0,1,4.0,2.0,gracema01,300,5.521721,ARI
22,318,Lyle Overbay,2000,984,3838,3355,936,457.0,25.0,448,102,1508,444,400.0,44.0,12.0,0,0,937,0,0,0,0,0,0,0,12,12.0,6.0,overbly01,318,11.86867536,TOR
23,318,Lyle Overbay,2010,603,1959,1747,419,218.0,10.0,197,49,680,194,181.0,13.0,6.0,1,0,498,0,0,0,0,0,4,4,3,7.0,1.0,overbly01,318,0.19724499999999984,ARI
