,BATTER,NAME,YEAR,G,PA,AB,H,RBI,SF,R,HR,TB,BB,UBB,IBB,HBP,G_P,G_C,G_1B,G_2B,G_3B,G_SS,G_LF,G_CF,G_RF,G_OF,G_DH,SB,CS,BASEBALLREFERENCECODE,PLAYERID,WARP,TEAM
0,294,Erubiel Durazo,2000,572,2106,1793,496,300.0,15.0,302,83,857,281,255.0,26.0,17.0,0,0,192,0,0,0,0,0,4,4,305,6.0,4.0,durazer01,294,7.780005,ARI
1,404,Vladimir Guerrero,2010,297,1233,1155,341,178.0,10.0,143,42,528,52,44.0,8.0,16.0,0,0,0,0,0,0,1,0,17,18,266,6.0,7.0,guerrvl01,404,2.9657880000000003,BAL
2,769,Adam Dunn,2010,711,2911,2466,530,391.0,17.0,317,146,1076,404,379.0,25.0,24.0,1,0,334,0,0,0,12,0,4,16,345,4.0,5.0,dunnad01,769,0.8139810000000005,CHW
3,777,Jose Guillen,2010,148,576,524,135,77.0,6.0,55,19,218,32,31.0,1.0,14.0,0,0,0,0,0,0,0,0,60,60,84,1.0,0.0,guilljo01,777,0.522621,KCR
4,822,Jack Cust,2000,491,1886,1533,367,248.0,15.0,242,89,698,332,322.0,10.0,6.0,0,0,0,0,0,0,113,0,104,217,236,4.0,4.0,custja01,822,5.25812272,OAK
5,822,Jack Cust,2010,179,695,574,143,75.0,3.0,69,16,227,112,110.0,2.0,6.0,0,0,0,0,0,0,13,0,3,16,153,2.0,2.0,custja01,822,0.4216110000000002,OAK
6,877,Brad Fullmer,2000,548,2101,1897,532,314.0,19.0,295,89,946,153,131.0,22.0,32.0,0,0,54,0,0,0,0,0,0,0,465,24.0,12.0,fullmbr01,877,6.174685000000001,ANA
7,1004,Josh Phelps,2000,465,1552,1394,380,244.0,6.0,198,64,658,116,110.0,6.0,36.0,0,12,86,0,0,0,3,0,2,5,308,2.0,2.0,phelpjo01,1004,1.5232249699999998,TOR
8,1049,Aubrey Huff,2000,1322,5444,4936,1391,752.0,46.0,654,203,2330,425,357.0,68.0,37.0,0,0,320,0,360,0,8,0,237,245,406,25.0,22.0,huffau01,1049,12.997825000000002,TBD
9,1070,Greg Vaughn,2000,354,1450,1234,278,190.0,8.0,193,63,538,200,189.0,11.0,8.0,0,0,0,0,0,0,166,0,1,167,169,22.0,8.0,vaughgr01,1070,6.594787000000001,TBD
10,1081,Ellis Burks,2000,450,1808,1581,472,290.0,18.0,282,91,848,192,180.0,12.0,16.0,0,0,0,0,0,0,26,0,110,136,291,15.0,6.0,burksel01,1081,9.7929036,CLE
11,1105,Victor Martinez,2010,1096,4480,4051,1182,619.0,45.0,469,135,1809,359,287.0,72.0,25.0,0,141,82,0,0,0,0,0,0,0,839,5.0,4.0,martivi01,1105,15.1081575,DET
12,1127,Jim Thome,2010,259,850,716,190,134.0,3.0,97,48,377,128,117.0,11.0,3.0,0,0,4,0,1,0,0,0,0,0,193,0.0,0.0,thomeji01,1127,3.7694900000000002,MIN
13,1163,Edgar Martinez,1990,1295,5587,4630,1492,750.0,40.0,854,196,2462,854,784.0,70.0,56.0,0,0,25,0,477,0,0,0,0,0,776,38.0,26.0,martied01,1163,44.14329100000001,SEA
14,1163,Edgar Martinez,2000,668,2805,2337,689,481.0,33.0,339,111,1166,406,364.0,42.0,29.0,0,0,3,0,1,0,0,0,0,0,626,9.0,3.0,martied01,1163,16.204485000000002,SEA
15,1179,Ruben Sierra,2000,524,1773,1635,429,275.0,19.0,197,67,723,119,106.0,13.0,0.0,0,0,0,0,0,0,102,0,83,185,256,10.0,1.0,sierrru01,1179,1.2462308000000002,NYY
16,1243,David Segui,2000,343,1405,1244,384,197.0,10.0,185,37,578,144,134.0,10.0,7.0,0,0,155,0,0,0,0,0,7,7,171,2.0,3.0,seguida01,1243,3.0682219000000006,BAL
17,1264,Travis Hafner,2000,823,3383,2856,803,553.0,22.0,478,163,1503,447,385.0,62.0,58.0,0,0,72,0,0,0,0,0,0,0,715,7.0,6.0,hafnetr01,1264,17.555837099999998,CLE
18,1264,Travis Hafner,2010,360,1392,1202,304,178.0,7.0,141,50,519,151,132.0,19.0,32.0,0,0,0,0,0,0,0,0,0,0,328,4.0,1.0,hafnetr01,1264,2.902062,CLE
19,1303,Carlos Baerga,2000,350,693,632,183,88.0,5.0,72,10,246,38,36.0,2.0,15.0,0,0,36,39,26,0,0,0,0,0,41,7.0,1.0,baergca01,1303,-0.029421800000000026,ARI
20,1310,Johnny Damon,2010,359,1484,1328,344,143.0,6.0,185,28,527,137,134.0,3.0,9.0,0,0,1,0,0,0,105,4,0,109,238,34.0,7.0,damonjo01,1310,2.069933,CLE
21,1461,Dmitri Young,2000,967,3842,3491,1018,508.0,23.0,463,138,1687,288,230.0,58.0,38.0,0,0,302,0,54,0,280,0,3,283,316,14.0,11.0,youngdm01,1461,8.433793999999999,DET
22,1489,Matthew Lecroy,2000,476,1539,1388,361,218.0,10.0,146,60,611,123,117.0,6.0,17.0,0,124,83,0,0,0,0,0,0,0,212,0.0,4.0,lecroma01,1489,1.8853948,MIN
23,1499,David Ortiz,2000,1340,5653,4825,1365,1016.0,53.0,831,307,2671,749,662.0,87.0,24.0,0,0,162,0,0,0,0,0,0,0,1125,9.0,5.0,ortizda01,1499,31.768032,BOS
24,1499,David Ortiz,2010,957,4036,3468,1014,700.0,35.0,530,224,1948,524,405.0,119.0,9.0,0,0,34,0,0,0,0,0,0,0,886,7.0,4.0,ortizda01,1499,26.617829999999998,BOS
25,1562,Frank Thomas,2000,951,3983,3307,904,664.0,39.0,526,220,1746,591,556.0,35.0,46.0,0,0,68,0,0,0,0,0,0,0,851,4.0,5.0,thomafr04,1562,23.498003999999995,CHW
26,1583,Jason Giambi,2010,308,773,642,139,111.0,11.0,68,31,261,104,95.0,9.0,16.0,0,0,73,0,0,0,0,0,0,0,98,2.0,1.0,giambja01,1583,0.8466488999999999,COL
27,1602,Jorge Posada,2010,235,838,727,176,101.0,4.0,83,32,311,98,91.0,7.0,9.0,0,84,15,1,0,0,0,0,0,0,120,3.0,3.0,posadjo01,1602,-1.2686704,NYY
28,16621,Hideki Matsui,2010,320,1240,1094,276,163.0,13.0,120,35,436,131,121.0,10.0,2.0,0,0,0,0,0,0,54,0,6,60,241,1.0,2.0,matsuhi01,16621,2.527562,LAA
29,16713,Harold Baines,1990,1274,4790,4178,1236,748.0,38.0,591,184,1996,569,478.0,91.0,4.0,0,0,0,0,0,0,7,0,30,37,1158,5.0,13.0,baineha01,16713,20.309954,BAL
30,16760,Geronimo Berroa,1990,674,2647,2339,648,368.0,26.0,370,99,1070,265,257.0,8.0,17.0,0,0,9,0,0,0,95,0,208,303,335,19.0,15.0,berroge01,16760,8.1753094,OAK
31,16846,Jose Canseco,1990,1145,4986,4309,1145,885.0,43.0,751,303,2276,577,534.0,43.0,57.0,1,0,0,0,0,0,85,0,414,499,643,119.0,57.0,cansejo01,16846,29.362592,OAK
32,16846,Jose Canseco,2000,174,707,585,149,98.0,8.0,93,31,268,109,106.0,3.0,5.0,0,0,0,0,0,0,4,0,3,7,154,4.0,1.0,cansejo01,16846,2.76891,CHW
33,16876,Dave Clark,1980,212,616,554,135,68.0,3.0,53,17,210,56,49.0,7.0,0.0,0,0,0,0,0,0,23,1,48,72,98,2.0,4.0,clarkda05,16876,-0.16337330000000005,CLE
34,16939,Chili Davis,1990,1250,5136,4365,1227,771.0,45.0,646,206,2084,716,618.0,98.0,9.0,1,0,1,0,0,0,51,0,10,61,1152,35.0,26.0,davisch01,16939,21.4161283,CAL
