,PITCHER,NAME,YEAR,Unnamed: 0,W,L,SV,IP,R,ER,PA,AB,H,HR,TB,BB,UBB,IBB,HBP,SO,PLAYERID,BASEBALLREFERENCECODE,WARP,TEAM
0,9,Pedro Borbon,1990,0,9,6,4,121.6667,52,50,521,449.0,99,8,155.0,57,51,6,3.0,100,9,borbope02,1.5543599,ATL
1,9,Pedro Borbon,2000,1,7,10,2,149.33339999999995,102,91,690,578.0,160,25,285.0,77,59,18,13.0,124,9,borbope02,-0.6745393,TOR
2,18,Carlos Hernandez,2000,10,9,8,0,170.6667,89,86,765,656.0,173,23,287.0,91,86,5,8.0,136,18,hernaca03,0.527429,HOU
3,41,Jeriome Robertson,2000,27,16,12,0,184.3337,128,117,832,724.0,215,32,363.0,78,65,13,8.0,111,41,roberje02,-1.0052655,HOU
4,49,Billy Wagner,1990,30,17,14,101,253.0,72,66,1023,888.0,158,22,246.0,108,103,5,7.0,394,49,wagnebi02,9.14423055,HOU
5,49,Billy Wagner,2000,31,23,24,284,580.6667,176,155,2309,2093.0,405,55,646.0,170,152,18,23.0,698,49,wagnebi02,18.23866,HOU
6,49,Billy Wagner,2010,32,7,2,37,69.3333,14,11,268,239.0,38,5,61.0,22,19,3,3.0,104,49,wagnebi02,2.23999,ATL
7,59,Jung Keun Bong,2000,33,7,4,1,78.3333,50,45,349,298.0,81,11,138.0,43,37,6,2.0,62,59,bongju01,0.913291,ATL
8,69,John Foster,2000,36,7,2,1,60.6667,34,33,277,236.0,63,11,108.0,33,31,2,4.0,54,69,fostejo01,0.2866380000000001,ATL
9,75,Tom Glavine,1980,38,23,29,0,431.6663,233,206,1848,1651.0,428,37,623.0,136,122,14,13.0,194,75,glavito02,0.9557559999999999,ATL
10,75,Tom Glavine,1990,39,164,87,0,2227.999,877,794,9325,8381.0,2101,141,2964.0,764,692,72,23.0,1465,75,glavito02,41.09135,ATL
11,75,Tom Glavine,2000,40,118,87,0,1753.6653,790,734,7431,6664.0,1769,178,2717.0,600,541,59,30.0,948,75,glavito02,17.356365,NYM
12,78,Chris Hammond,1990,42,46,55,1,843.6663,465,426,3657,3260.0,902,81,1354.0,313,291,22,23.0,513,78,hammoch01,8.751196,FLA
