,PITCHER,NAME,YEAR,Unnamed: 0,W,L,SV,IP,R,ER,PA,AB,H,HR,TB,BB,UBB,IBB,HBP,SO,PLAYERID,BASEBALLREFERENCECODE,WARP,TEAM
0,13,Nelson Cruz,2000,3,13,16,2,255.3333,142,134,1107,990.0,266,42,463.0,77,64,13,21.0,208,13,cruzne01,2.845413,HOU
1,14,Octavio Dotel,1990,4,8,3,0,85.3333,52,51,368,305.0,69,12,130.0,49,48,1,6.0,85,14,doteloc01,2.156,NYM
2,14,Octavio Dotel,2000,5,38,36,83,685.0,294,268,2897,2519.0,548,87,955.0,298,271,27,29.0,855,14,doteloc01,17.395918899999998,HOU
3,14,Octavio Dotel,2010,6,13,11,26,180.6667,85,80,760,674.0,148,18,254.0,65,54,11,6.0,203,14,doteloc01,2.722312,DET
4,17,Tom Gordon,1980,7,17,11,1,178.6667,76,75,744,642.0,138,11,200.0,93,89,4,1.0,171,17,gordoto01,3.756309,KCR
5,17,Tom Gordon,1990,8,87,85,70,1466.3339999999996,759,684,6398,5564.0,1378,122,2059.0,714,682,32,27.0,1260,17,gordoto01,21.458823000000002,KCR
6,17,Tom Gordon,2000,9,34,30,87,463.0001,181,168,1916,1708.0,373,43,595.0,170,149,21,10.0,497,17,gordoto01,11.829725264,PHI
7,25,Brad Lidge,2000,12,25,28,195,529.0001,228,209,2259,1950.0,432,51,700.0,239,210,29,32.0,714,25,lidgebr01,15.289382799999998,HOU
8,30,Wade Miller,2000,16,62,45,0,884.0001,432,396,3781,3324.0,821,104,1334.0,372,357,15,27.0,741,30,millewa04,12.870615800000005,HOU
9,31,Dave Mlicki,1990,17,45,48,1,859.6669999999999,451,406,3758,3340.0,890,106,1419.0,320,297,23,37.0,623,31,mlickda01,10.5064505,NYM
10,31,Dave Mlicki,2000,18,21,32,0,373.0,258,240,1710,1505.0,447,65,755.0,152,143,9,21.0,211,31,mlickda01,-4.428615799999999,DET
11,32,Pete Munro,2000,20,13,17,0,260.0001,148,134,1169,1032.0,310,25,468.0,91,84,7,21.0,151,32,munrope01,1.5891440000000001,HOU
12,33,Roy Oswalt,2000,21,137,70,0,1803.334,695,647,7455,6848.0,1756,154,2657.0,412,382,30,66.0,1473,33,oswalro01,50.12034,HOU
13,33,Roy Oswalt,2010,22,26,32,0,442.0003,202,191,1846,1691.0,443,43,693.0,108,104,4,14.0,379,33,oswalro01,8.641715800000002,PHI
14,39,Tim Redding,2000,24,37,57,0,822.3337,503,452,3644,3210.0,889,114,1453.0,337,312,25,30.0,552,39,redditi01,3.3778230000000002,HOU
15,40,Shane Reynolds,1990,25,79,61,0,1234.6663,561,508,5183,4831.0,1300,114,1956.0,251,230,21,22.0,1067,40,reynosh01,42.253458,HOU
16,40,Shane Reynolds,2000,26,35,35,0,557.0,334,306,2427,2195.0,635,77,1023.0,168,156,12,19.0,336,40,reynosh01,5.881200999999999,HOU
17,43,Kirk Saarloos,2000,28,29,30,2,508.9999,301,284,2251,2007.0,592,60,905.0,186,165,21,28.0,251,43,saarlki01,0.4300452,OAK
18,47,Ricky Stone,2000,29,11,9,2,255.6667,144,133,1122,1001.0,283,44,474.0,90,77,13,16.0,170,47,stoneri01,1.9591583,HOU
19,77,Kevin Gryboski,2000,41,12,8,2,183.3334,100,83,835,706.0,203,15,286.0,105,85,20,11.0,103,77,gryboke01,-0.6305924999999998,ATL
20,83,Darren Holmes,1990,45,32,28,57,563.9999,286,262,2469,2184.0,584,49,884.0,224,192,32,11.0,472,83,holmeda01,7.1756815000000005,COL
