,BATTER,NAME,YEAR,G,PA,AB,H,RBI,SF,R,HR,TB,BB,UBB,IBB,HBP,G_P,G_C,G_1B,G_2B,G_3B,G_SS,G_LF,G_CF,G_RF,G_OF,G_DH,SB,CS,BASEBALLREFERENCECODE,PLAYERID,WARP,TEAM
0,16,Adam Everett,2000,815,2914,2617,640,278.0,20.0,319,40,919,165,151.0,14.0,37.0,0,0,0,1,0,792,0,0,0,0,3,64.0,20.0,everead01,16,9.405941099999998,HOU
1,26,Mark Loretta,1990,517,1863,1643,483,184.0,20.0,237,18,643,159,155.0,4.0,20.0,0,0,155,125,74,208,1,0,0,1,1,21.0,14.0,loretma01,26,3.490018,MIL
2,27,Julio Lugo,2000,1237,5026,4473,1213,452.0,40.0,659,80,1751,420,416.0,4.0,35.0,0,0,0,114,16,1078,11,1,6,18,7,193.0,62.0,lugoju01,27,16.608694,HOU
3,48,Jose Vizcaino,1990,1061,3936,3564,966,325.0,29.0,426,21,1216,257,244.0,13.0,11.0,0,0,0,228,139,672,1,0,0,1,0,59.0,44.0,vizcajo01,48,4.46662294,CHC
4,48,Jose Vizcaino,2000,752,1971,1805,485,155.0,9.0,205,15,641,121,101.0,20.0,5.0,0,0,39,206,88,271,0,0,0,0,2,15.0,18.0,vizcajo01,48,1.2050847,HOU
5,70,Julio Franco,1980,1064,4544,4138,1232,524.0,45.0,584,58,1666,337,314.0,23.0,18.0,0,0,0,321,2,715,0,0,0,0,24,152.0,63.0,francju01,70,21.6706045,CLE
6,73,Rafael Furcal,2000,1300,5871,5249,1493,465.0,32.0,880,92,2140,529,511.0,18.0,16.0,0,0,0,36,0,1256,0,0,0,0,0,271.0,81.0,furcara02,73,30.51554400000001,ATL
7,73,Rafael Furcal,2010,314,1365,1228,324,122.0,7.0,183,21,465,114,108.0,6.0,6.0,0,0,0,8,0,298,0,0,0,0,0,43.0,13.0,furcara02,73,6.841124599999999,LAD
8,106,Gary Sheffield,1980,119,494,448,110,44.0,4.0,46,9,156,34,34.0,0.0,4.0,0,0,0,0,21,94,0,0,0,0,4,13.0,7.0,sheffga01,106,0.6604146,MIL
9,138,Jose Hernandez,1990,745,2188,1989,499,257.0,8.0,303,73,844,154,136.0,18.0,8.0,0,0,6,60,211,401,44,47,4,95,1,24.0,17.0,hernajo01,138,4.3727521000000005,CHC
10,138,Jose Hernandez,2000,842,2901,2629,667,346.0,16.0,320,95,1085,230,208.0,22.0,16.0,0,0,73,58,214,435,18,3,12,33,1,17.0,21.0,hernajo01,138,5.813422100000001,MIL
11,172,Wilson Delgado,2000,194,477,430,107,37.0,3.0,47,5,135,40,37.0,3.0,1.0,0,0,0,48,31,96,0,0,0,0,0,3.0,1.0,delgawi01,172,0.7532463,KCR
12,205,Edgar Renteria,1990,547,2395,2150,611,177.0,18.0,329,23,793,179,177.0,2.0,12.0,0,0,0,0,0,539,0,0,0,0,0,126.0,47.0,renteed01,205,5.646456,FLA
